Sitio #;Sitio #;Sitio nombre;Fecha (m/d/a);Hora(0:00-24:00);Viento;Cielo;Rio;Especies;Num. 0-50;Num. >50-100;Num. >100;Sex;1;2;3;4;5;6;7;8;9;10;11;12;Sequence
37;37C;Finca de Augustine;4/1/2016;10:41;5;0;2;CARPUS;1;;;M;;;;;;;;;;;;;G/B/M
37;37C;Finca de Augustine;4/1/2016;10:41;5;0;2;SETMAG;1;;;M;;;;;;;;;;;;;G/B/M
37;37C;Finca de Augustine;4/1/2016;10:41;5;0;2;HYLLEU;1;;;M;;;;;;;;;;;;;G/B/M
37;37C;Finca de Augustine;4/1/2016;10:41;5;0;2;OREPER;1;;;M;;;;;;;;;;;;;G/B/M
37;37C;Finca de Augustine;4/1/2016;10:41;5;0;2;EMPFLT*;1;;;;;;;;;;;;;;;;G/B/M
37;37C;Finca de Augustine;4/1/2016;10:41;5;0;2;BASRUF;1;;;;;;;;;;;;;;;;G/B/M
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;B/G/M
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;BUTMAG;1;;;;;;;;;;;;;;;;B/G/M
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;GLABRA;1;;;;;;;;;;;;;;;;B/G/M
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;PSAMON;2;;;;;;;;;;;;;;;;B/G/M
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;SETVIR;1;;;;;;;;;;;;;;;;B/G/M
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;CAEAUR*;1;;;;;;;;;;;;;;;;B/G/M
48;48F;Finca de Enma;4/1/2016;09:23;5;0;0;VERCRY;1;;;M;;;;;;;;;;;;8;B/G/M
48;48F;Finca de Enma;4/1/2016;09:23;5;0;0;MOMMOM;2;;;;;;;;;;;;;;;;B/G/M
48;48F;Finca de Enma;4/1/2016;09:23;5;0;0;ONCCIN;1;;;;;;;;;;;;;;;;B/G/M
48;48F;Finca de Enma;4/1/2016;09:23;5;0;0;CHLOCC;2;;;;;;;;;;;;;;;;B/G/M
48;48F;Finca de Enma;4/1/2016;09:23;5;0;0;SETMAG;1;;;H;;;;;;;;;;;;;B/G/M
48;48F;Finca de Enma;4/1/2016;09:23;5;0;0;CARPUS;3;;;2M,1H;;;;;;;;;;;;;B/G/M
48;48F;Finca de Enma;4/1/2016;09:23;5;0;0;SETVIR;2;;;M,H;;;;;;;;;;;;;B/G/M
48;48F;Finca de Enma;4/1/2016;09:23;5;0;0;MNIVAR;2;;;M,H;;;;;;;;;;;;;B/G/M
48;48F;Finca de Enma;4/1/2016;09:23;5;0;0;MIOOLE;1;;;;;;;;;;;;;;;;B/G/M
48;48F;Finca de Enma;4/1/2016;09:23;5;0;0;SITGRI;1;;;;;;;;;;;;;;;;B/G/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;VERCRY;1;;;M;;10;4;7;5;8;10;;11;12;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;VERCRY;1;;;M;;;;6;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;PATFLA;1;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;EMPFLT*;1;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;AMAALB;2;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;HENLES*;1;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;ONCCIN;1;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;BASCUL;1;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;SETMAG;1;;;H;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;SETPEN;1;;;M;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;HABRUB;2;;;M,H;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;TOLSUL;1;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;CARPUS;1;;;M;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;EUPEXI;1;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;SITGRI;1;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;DUMCAR;1;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;PHASTR;1;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M
43;43F;Finca de Fredie;3/8/2016;06:33;0;2;0;MNIVAR;1;;;H;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;VERCRY;1;;;M;;;;;;12;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;DUMCAR;1;;;;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;DIVDIV;1;;;;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;MELAUR;1;;;;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;TOLSUL;1;;;;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;SETVIR;3;;;1H,2M;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;PSAMON;1;;;;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;SETRUT;1;;;H;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;THRRUL*;1;;;;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;MNIVAR;2;;;H,M;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;PIRRUB;1;;;M;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;OREPER;8;;;;;;;;;;;;;;;;G/B/M
47;47C;Finca de Hincho;03/16/2016;12:20;2;0;0;CARPUS;1;;;M;;;;;;;;;;;;;G/B/M
22;22C;Finca de Julio;03/30/2016;11:05;2;0;0;PSAMON;2;;;;;;;;;;;;;;;;G/B/M
22;22C;Finca de Julio;03/30/2016;11:05;2;0;0;CAEAUR*;1;;;;;;;;;;;;;;;;G/B/M
22;22C;Finca de Julio;03/30/2016;11:05;2;0;0;SETRUT;1;;;M;;;;;;;;;;;;;G/B/M
22;22C;Finca de Julio;03/30/2016;11:05;2;0;0;TOLSUL;1;;;;;;;;;;;;;;;;G/B/M
22;22C;Finca de Julio;03/30/2016;11:05;2;0;0;SETVIR;1;;;M;;;;;;;;;;;;;G/B/M
22;22C;Finca de Julio;03/30/2016;11:05;2;0;0;GLABRA;1;;;;;;;;;;;;;;;;G/B/M
22;22C;Finca de Julio;03/30/2016;11:05;2;0;0;MELAUR;1;;;;;;;;;;;;;;;;G/B/M
22;22C;Finca de Julio;03/30/2016;11:05;2;0;0;SETPEN;1;;;M;;;;;;;;;;;;;G/B/M
22;22C;Finca de Julio;03/30/2016;11:05;2;0;0;SETMAG;1;;;M;;;;;;;;;;;;;G/B/M
22;22C;Finca de Julio;03/30/2016;11:05;2;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;G/B/M
