Site;Sitio #;Sitio nombre;Fecha (m/d/a);Hora(0:00-24:00);Viento;Cielo;Rio;Especies;Num. 0-50;Num. >50-100;Num. >100;Sex;1;2;3;4;5;6;7;8;9;10;11;12;Sequence;Nota
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;EMPFLT*;1;;;;;;;;;;;;;;;;B/G/M;
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;BUTMAG;1;;;;;;;;;;;;;;;;B/G/M;
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;GLABRA;1;;;;;;;;;;;;;;;;B/G/M;
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;PSAMON;2;;;;;;;;;;;;;;;;B/G/M;
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;SETVIR;1;;;;;;;;;;;;;;;;B/G/M;
8;8F;Finca de Elias (Near);03/15/2016;08:35;0;0;0;CAEAUR*;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;BASRUF;2;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;PSAMON;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;DUMCAR;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;PHASTR;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;GLABRA;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;AMAALB;4;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;EMPFLT*;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;AIMRUS*;1;;;;;;;;;;;;;;;;B/G/M;
9;9F;Finca de Norma (S Edge);02/18/2016;07:55;0;2;0;CANMOD;1;;;;;;;;;;;;;;;;B/G/M;
